group,prime,target,condition,primetype,corrAns
B,ginseng,GIN,ortho_syll,related,j
B,tandem,TAN,ortho_syll,related,j
B,counterfeit,COUNTER,ortho_syll,related,j
B,sincere,SIN,ortho_syll,related,j
B,maintain,MAIN,ortho_syll,related,j
B,dogma,DOG,ortho_syll,related,j
B,pundit,PUN,ortho_syll,related,j
B,panda,PAN,ortho_syll,related,j
B,haggis,HAG,ortho_syll,related,j
B,carcass,CAR,ortho_syll,related,j
B,plantain,PLAN,ortho_syll,related,j
B,marquis,MAR,ortho_syll,related,j
B,banjo,BAN,ortho_syll,related,j
B,bungee,BUN,ortho_syll,related,j
B,faded,BRA,ortho_syll,unrelated,j
B,sleeper,TAB,ortho_syll,unrelated,j
B,closeness,APART,ortho_syll,unrelated,j
B,columnist,PLAIN,ortho_syll,unrelated,j
B,dating,SUM,ortho_syll,unrelated,j
B,blender,LET,ortho_syll,unrelated,j
B,sicker,CASH,ortho_syll,unrelated,j
B,poster,GOB,ortho_syll,unrelated,j
B,wiper,GUM,ortho_syll,unrelated,j
B,setter,MAN,ortho_syll,unrelated,j
B,absorbent,EXTRA,ortho_syll,unrelated,j
B,roomy,PAR,ortho_syll,unrelated,j
B,leaning,BOY,ortho_syll,unrelated,j
B,wasted,TEN,ortho_syll,unrelated,j
B,highest,CAP,ortho_syll,unrelated,j
B,exited,HUM,ortho_syll,unrelated,j
B,muddy,MUD,transparent,related,j
B,wisely,WISE,transparent,related,j
B,plugging,PLUG,transparent,related,j
B,honorable,HONOR,transparent,related,j
B,weaken,WEAK,transparent,related,j
B,dearly,DEAR,transparent,related,j
B,drying,DRY,transparent,related,j
B,foolish,FOOL,transparent,related,j
B,sadness,SAD,transparent,related,j
B,madness,MAD,transparent,related,j
B,foggy,FOG,transparent,related,j
B,dreadful,DREAD,transparent,related,j
B,joyful,JOY,transparent,related,j
B,tagging,TAG,transparent,related,j
B,lawful,LAW,transparent,related,j
B,aiming,AIM,transparent,related,j
B,erupted,DIP,transparent,unrelated,j
B,avoiding,CLUE,transparent,unrelated,j
B,hunted,SPY,transparent,unrelated,j
B,lodging,PAD,transparent,unrelated,j
B,courting,BONE,transparent,unrelated,j
B,rotating,HARM,transparent,unrelated,j
B,rises,ODD,transparent,unrelated,j
B,shower,CRY,transparent,unrelated,j
B,touchy,ACID,transparent,unrelated,j
B,jumper,SKI,transparent,unrelated,j
B,amended,RANK,transparent,unrelated,j
B,weeded,EGO,transparent,unrelated,j
B,promoter,TRIM,transparent,unrelated,j
B,patted,FAT,transparent,unrelated,j
B,sweating,FLAW,transparent,unrelated,j
B,poorest,SHARP,transparent,unrelated,j
B,gutter,GUT,opaque,related,j
B,petty,PET,opaque,related,j
B,department,DEPART,opaque,related,j
B,corny,CORN,opaque,related,j
B,treaty,TREAT,opaque,related,j
B,tractable,TRACT,opaque,related,j
B,topic,TOP,opaque,related,j
B,irony,IRON,opaque,related,j
B,muggy,MUG,opaque,related,j
B,butter,BUTT,opaque,related,j
B,belly,BELL,opaque,related,j
B,ladder,LAD,opaque,related,j
B,wander,WAND,opaque,related,j
B,luster,LUST,opaque,related,j
B,pigment,PIG,opaque,related,j
B,earnest,EARN,opaque,related,j
B,ranges,ARCH,opaque,unrelated,j
B,openly,TEND,opaque,unrelated,j
B,tasted,KIT,opaque,unrelated,j
B,masses,HAM,opaque,unrelated,j
B,saying,MAT,opaque,unrelated,j
B,eluded,RUST,opaque,unrelated,j
B,softer,BRAND,opaque,unrelated,j
B,subtly,CHOP,opaque,unrelated,j
B,vividly,FIG,opaque,unrelated,j
B,races,INN,opaque,unrelated,j
B,moving,FORM,opaque,unrelated,j
B,bosses,POND,opaque,unrelated,j
B,finer,OPT,opaque,unrelated,j
B,creeping,GULL,opaque,unrelated,j
B,cheaply,FLICK,opaque,unrelated,j
B,visited,WIT,opaque,unrelated,j
B,spot,SPOT,identity,related,j
B,shirt,SHIRT,identity,related,j
B,fail,FAIL,identity,related,j
B,push,PUSH,identity,related,j
B,fuss,FUSS,identity,related,j
B,elm,ELM,identity,related,j
B,hat,HAT,identity,related,j
B,ace,ACE,identity,related,j
B,query,QUERY,identity,related,j
B,cow,COW,identity,related,j
B,ant,ANT,identity,related,j
B,joke,JOKE,identity,related,j
B,dust,DUST,identity,related,j
B,lap,LAP,identity,related,j
B,rug,RUG,identity,related,j
B,eye,EYE,identity,related,j
B,rent,SPIN,identity,unrelated,j
B,suit,LOCK,identity,unrelated,j
B,bog,HIP,identity,unrelated,j
B,plea,KNOT,identity,unrelated,j
B,mount,ANGEL,identity,unrelated,j
B,ill,JAM,identity,unrelated,j
B,tank,FUND,identity,unrelated,j
B,eel,TUB,identity,unrelated,j
B,row,TIP,identity,unrelated,j
B,oil,BAY,identity,unrelated,j
B,sit,TOY,identity,unrelated,j
B,rum,WIG,identity,unrelated,j
B,fan,EAT,identity,unrelated,j
B,guy,PUB,identity,unrelated,j
B,gap,RAT,identity,unrelated,j
B,hay,POT,identity,unrelated,j
B,bands,BANF,nw_fillers,unrelated,f
B,mixing,PANK,nw_fillers,unrelated,f
B,novels,ZASH,nw_fillers,unrelated,f
B,basics,DARB,nw_fillers,unrelated,f
B,deadly,MARD,nw_fillers,unrelated,f
B,steady,BAGE,nw_fillers,unrelated,f
B,hotels,JARK,nw_fillers,unrelated,f
B,kindly,PARN,nw_fillers,unrelated,f
B,rental,SEEF,nw_fillers,unrelated,f
B,breeds,ADASH,nw_fillers,unrelated,f
B,guards,ABAPE,nw_fillers,unrelated,f
B,amazed,ABBOY,nw_fillers,unrelated,f
B,lover,ABBIT,nw_fillers,unrelated,f
B,agrees,ABHAR,nw_fillers,unrelated,f
B,stairs,BURGE,nw_fillers,unrelated,f
B,thighs,HARON,nw_fillers,unrelated,f
B,turner,BAFED,nw_fillers,unrelated,f
B,raises,PASIL,nw_fillers,unrelated,f
B,rider,TASIN,nw_fillers,unrelated,f
B,robots,NASIS,nw_fillers,unrelated,f
B,argues,FASTE,nw_fillers,unrelated,f
B,hiring,BETCH,nw_fillers,unrelated,f
B,stamps,TATHE,nw_fillers,unrelated,f
B,exotic,KATON,nw_fillers,unrelated,f
B,diving,TAWDY,nw_fillers,unrelated,f
B,meters,DAYED,nw_fillers,unrelated,f
B,trains,KEACH,nw_fillers,unrelated,f
B,deaths,BEALY,nw_fillers,unrelated,f
B,losses,BEALM,nw_fillers,unrelated,f
B,cycles,PEAGUE,nw_fillers,unrelated,f
B,dozens,CEAKED,nw_fillers,unrelated,f
B,guests,HEANED,nw_fillers,unrelated,f
B,newest,NEAPED,nw_fillers,unrelated,f
B,partly,LEARTS,nw_fillers,unrelated,f
B,worthy,HEASED,nw_fillers,unrelated,f
B,wells,YAR,nw_fillers,unrelated,f
B,pipes,TAI,nw_fillers,unrelated,f
B,tours,TAV,nw_fillers,unrelated,f
B,gifts,TEI,nw_fillers,unrelated,f
B,sized,BERM,nw_fillers,unrelated,f
B,tuned,MEE,nw_fillers,unrelated,f
B,stays,TEZ,nw_fillers,unrelated,f
B,clips,HETS,nw_fillers,unrelated,f
B,mines,TRE,nw_fillers,unrelated,f
B,kicks,GLY,nw_fillers,unrelated,f
B,worms,PIC,nw_fillers,unrelated,f
B,lions,MIE,nw_fillers,unrelated,f
B,loans,FIKE,nw_fillers,unrelated,f
B,hoped,TIY,nw_fillers,unrelated,f
B,grows,TIX,nw_fillers,unrelated,f
B,wires,TID,nw_fillers,unrelated,f
B,typed,TOA,nw_fillers,unrelated,f
B,ruins,BLAG,nw_fillers,unrelated,f
B,blown,GON,nw_fillers,unrelated,f
B,paths,NOM,nw_fillers,unrelated,f
B,rolls,VOON,nw_fillers,unrelated,f
B,souls,SOOR,nw_fillers,unrelated,f
B,ruled,HOOS,nw_fillers,unrelated,f
B,bombs,NOOT,nw_fillers,unrelated,f
B,roles,NORE,nw_fillers,unrelated,f
B,wages,FORN,nw_fillers,unrelated,f
B,winds,FOSS,nw_fillers,unrelated,f
B,seeds,BUTH,nw_fillers,unrelated,f
B,locks,BOUG,nw_fillers,unrelated,f
B,roses,BUWL,nw_fillers,unrelated,f
B,burns,GOWS,nw_fillers,unrelated,f
B,parks,BOLY,nw_fillers,unrelated,f
B,jogger,BOUS,nw_fillers,unrelated,f
B,welded,PRAD,nw_fillers,unrelated,f
B,files,GRAE,nw_fillers,unrelated,f
B,spots,BREG,nw_fillers,unrelated,f
B,gladly,BRUN,nw_fillers,unrelated,f
B,drops,GRAT,nw_fillers,unrelated,f
B,pairs,BRAX,nw_fillers,unrelated,f
B,gains,CRED,nw_fillers,unrelated,f
B,smarter,PID,nw_fillers,unrelated,f
B,flavors,PIM,nw_fillers,unrelated,f
B,tracing,HIN,nw_fillers,unrelated,f
B,shifted,PIS,nw_fillers,unrelated,f
B,budgets,DIT,nw_fillers,unrelated,f
B,bothers,COE,nw_fillers,unrelated,f
B,vaguely,HOZ,nw_fillers,unrelated,f
B,repairs,HUP,nw_fillers,unrelated,f
B,chasing,VOT,nw_fillers,unrelated,f
B,banning,HUW,nw_fillers,unrelated,f
B,expired,VUB,nw_fillers,unrelated,f
B,exports,HUO,nw_fillers,unrelated,f
B,dreamed,CUG,nw_fillers,unrelated,f
B,notions,SUH,nw_fillers,unrelated,f
B,manners,HUR,nw_fillers,unrelated,f
B,hardest,DEAT,nw_fillers,unrelated,f
B,watches,VEEK,nw_fillers,unrelated,f
B,fencing,REET,nw_fillers,unrelated,f
B,crushed,DELD,nw_fillers,unrelated,f
B,debated,GAM,nw_fillers,unrelated,f
B,planted,PAS,nw_fillers,unrelated,f
B,shelves,GITRON,nw_fillers,unrelated,f
B,chills,GLAIMS,nw_fillers,unrelated,f
B,adaped,HULGING,nw_fillers,unrelated,f
B,dwarfs,SAWKER,nw_fillers,unrelated,f
B,beaches,VEN,nw_fillers,unrelated,f
B,packing,SER,nw_fillers,unrelated,f
